場所名稱,場所地址,場所經緯度X,場所經緯度Y,場所類型,場所網址,場所描述,AED放置地點,AED經緯度X,AED經緯度Y,AED地點描述,開放使用時間,開放使用時間緊急連絡電話,資料建立時間
萬瑞育樂有限公司,新竹縣橫山鄉橫山鄉橫山村23鄰23號,121.130807,24.707442,森林遊樂區,http://www.wanruey.com.tw,萬瑞森林樂園-萬瑞度假村-櫃檯,萬瑞育樂有限公司,121.130807,24.707442,萬瑞森林樂園-萬瑞度假村-櫃檯,"星期一至星期五 00:00 至 23:59
                星期六 00:00 至 23:59
                星期日 00:00 至 23:59
                備註:全年無休",03-5934341,2014-04-25 17:46:00.0
嘉義縣協志高職,嘉義縣民雄鄉建國路2段285巷11號,120.431056,23.549019,高中職,,行政中心一樓教官室右側布告欄,教官室,120.431056,23.549019,行政中心一樓教官室右側布告欄,"星期一至星期五 07:00 至 22:00
                星期六 07:00 至 18:00
                星期日 07:00 至 18:00
                備註:",05-2264264P 分機222,2014-04-09 15:43:00.0
Curves 可爾姿女性30分鐘環狀運動西門漢中店,台北市萬華區漢中街157號2樓,121.507173,25.041502,健身房,http://www.curves.com.tw,Curves 可爾姿女性30分鐘環狀運動,櫃台附近更衣室內,121.507173,25.041502,櫃台附近更衣室內,"星期一至星期五 14:30 至 20:30
                星期六 10:00 至 13:00
                星期日  至 
                備註:國定假日與本店公休日不開放",02-23612327,2015-01-08 15:54:00.0
長春人造樹脂(股)公司新竹廠,新竹縣湖口鄉鳳山村中華路8號,121.006455,24.867083,其他場所,,,長春人造樹脂(股)公司新竹廠,121.006455,24.867083,製一部PLC二場1F入口處,"星期一至星期五 08:30 至 17:30
                星期六 00:00 至 00:00
                星期日  至 
                備註:",03-5981511#211,2017-01-03 13:49:00.0
臺中市南區信義國民小學,台中市南區五權南路325號,120.669748,24.121614,國小,http://www.xyes.tc.edu.tw/web/,西棟穿堂佈告欄旁,西棟穿堂佈告欄旁,120.669748,24.121614,西棟穿堂佈告欄旁,"星期一至星期五 05:00 至 19:00
                星期六 05:00 至 17:00
                星期日 05:00 至 17:00
                備註:",09682009341,2013-10-22 11:35:00.0
博愛國小運動中心-舞動陽光有限公司,台北市信義區松仁路95巷20號,121.570903,25.036375,國小,http://www.wdygsports.com.tw/sports.asp?major=8bUDVDYXEGzkLtPl,博愛國小運動中心,博愛國小學生活動中心B1,121.570903,25.036375,博愛國小學生活動中心B1游泳池櫃台前,"星期一至星期五 17:00 至 22:00
                星期六 10:00 至 17:00
                星期日 10:00 至 17:00
                備註:過年期間休館",02-87892525,2015-11-10 22:00:00.0
新北市永和區網溪國民小學,新北市永和區竹林路79號,121.519364,25.012938,國小,http://www.whps.ntpc.edu.tw,"地處永和區中心位置離頂溪捷運站5分鐘乃交通及社區民眾交流頻繁之重要聚點",警衛室,121.519364,25.012938,位於學童及社區民眾易經之處,"星期一至星期五 08:00 至 21:30
                星期六 08:00 至 17:00
                星期日 08:00 至 17:00
                備註:",89264470-825,2016-12-01 09:35:00.0
文化部文化資產局台中文化創意園區,台中市西區復興路3段362號,120.680748,24.133345,文化園區,,國際展演館右側的寄物櫃區,台中文化創意園區-國際展演館,120.680748,24.133345,國際展演館右側的寄物櫃區,"星期一至星期五  至 
                星期六  至 
                星期日  至 
                備註:僅供園區內使用",(04)22295848,2014-05-28 19:44:00.0
彰化縣立湖東國民小學,彰化縣溪湖鎮大溪路2段423號,120.482801,23.963651,國小,,,總務處及學務處兩室中間走廊,120.482801,23.963651,總務處及學務處兩室中間走廊,"星期一至星期五 07:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",(04)8852062轉23,2015-05-13 10:34:00.0
新竹縣芎林鄉衛生所,新竹縣芎林鄉文山路532號,121.077618,24.777452,其他場所,http://www.hcshb.gov.tw/cyonglin/,,一樓服務台,121.077618,24.777452,大門左前側,"星期一至星期五 08:00 至 17:00
                星期六  至 
                星期日  至 
                備註:",03-5924787,2015-07-31 14:58:00.0
